"m2dx_address","function_name","plate_comment_text","evidence_source","confidence"
"0x10001000","DXD3D::Environment","Zeros DXD3D::d3d state block + resets bClearScreen/bResetResolution flags. Called once at DLL load. | port-side handling: Replaced wholesale by ddraw_wrapper D3D11 device init (Backend_CreateDevice in main.c). Port has no D3D3 state. | Wave3-O1A 2026-05-22","W1D,SRC","high"
"0x100010b0","DXD3D::Create","Direct3D 3 device creation: CoCreateInstance(CLSID_D3D), enumerates HALs, picks driver, creates IDirect3DDevice3. | port-side handling: ddraw_wrapper creates D3D11 device on Win32 HWND; td5_game.c:587 maps DXWin::Initialize -> Backend_CreateDevice. | Wave3-O1A 2026-05-22","W1D,SRC","high"
"0x100011f0","DXD3D::Destroy","Release IDirect3DDevice3 + IDirect3D3 + driver state. Pairs with Create. | port-side handling: ddraw_wrapper Backend_Shutdown; td5_game.c:597 (DXWin::Uninitialize path). | Wave3-O1A 2026-05-22","W1D","high"
"0x10001270","DXD3D::InitializeMemoryManagement","Configure D3D3 texture memory manager + execute buffer pools. | port-side handling: Replaced by D3D11 texture upload in ddraw_wrapper; td5_game.c:675 -> no-op in port. | Wave3-O1A 2026-05-22","W1D,SRC","high"
"0x10001580","DXD3D::CanFog","Probe IDirect3DDevice3 D3DDEVICEDESC for D3DPRASTERCAPS_FOGTABLE/VERTEX support. | port-side handling: ARCH-DIVERGENCE: D3D3 probe removed in port (td5_render.c:1243). D3D11 always supports fog so probe inert. | Wave3-O1A 2026-05-22","W1D,SRC","high"
"0x100015a0","DXD3D::BeginScene","IDirect3DDevice3::BeginScene() — begin frame drawing. | port-side handling: td5_render.c:1146 BeginRaceScene maps to ddraw_wrapper begin-frame; D3D11 backend. | Wave3-O1A 2026-05-22","W1D,SRC","high"
"0x100016b0","DXD3D::EndScene","IDirect3DDevice3::EndScene() — end frame drawing. | port-side handling: td5_render.c:1188 EndRaceScene maps to ddraw_wrapper end-frame; D3D11 backend. | Wave3-O1A 2026-05-22","W1D,SRC","high"
"0x10001700","DXD3D::TextureClamp","Set texture address mode (D3DTSS_ADDRESS = CLAMP) on D3D3 device. | port-side handling: ddraw_wrapper sampler state; port doesn't expose granular texture state control here. | Wave3-O1A 2026-05-22","W1D","medium"
"0x10001770","DXD3D::SetRenderState","Wrapper over IDirect3DDevice3::SetRenderState — used for ALPHAREF/NOTEQUAL gating per HUD render path. | port-side handling: td5_hud.c:335 + td5_render.c:5724 + td5_platform_win32.c:2317 reference orig 0x10001770 for ALPHAREF=0 semantics; mapped to D3D11 blend state. | Wave3-O1A 2026-05-22","W1D,SRC","high"
"0x10001ab0","DXD3D::GetStats","Returns D3D device statistics (poly count, texture count) — debug overlay only. | port-side handling: Not ported; debug stats use port-internal counters in td5_render.c. | Wave3-O1A 2026-05-22","W1D","low"
