address,name,body_size,prior_level,verdict,verdict_tag,port_location,evidence,source,audit_date
00448157,_rand,33,0,NOT_PORTED,MINGW_CRT,,"MSVC CRT _rand stub in orig 0x00448000+ range; port links MinGW CRT with td5_msvc_rand.c LCG override (0x343FD/0x269EC3) for parity",AGENT,2026-05-24
004481a3,_malloc,17,0,NOT_PORTED,MINGW_CRT,,"MSVC CRT _malloc stub in orig 0x00448000+ range; port links MinGW CRT malloc (no override needed)",AGENT,2026-05-24
00403c80,ComputeReverseGearTorque,258,5,FAITHFUL,,td5_physics.c:8783,"orig 0x403c80 byte-faithful: gear==1->iVar5=0; else ((engine-400)*0x1000)/45/gear_ratio<<8; throttle>0 && gear==2 hot/cold target+step slew matches orig instruction-for-instruction",AGENT,2026-05-24
004242b0,DrawFrontendLocalizedStringPrimary,221,5,INTENTIONAL,FONTSTR,td5_frontend.c:10444,"orig per-glyph DDraw Blt(0x11) over BodyText 24x24 atlas with advance from PTR_DAT_004660c8; port folds into fe_draw_text/fe_measure_text glyph-strip via s_font_glyph_advance",AGENT,2026-05-24
00403a20,IntegrateWheelSuspensionTravel,592,5,FAITHFUL,,td5_physics.c:4357,"port td5_physics_integrate_suspension mirrors orig: same cardef +0x5E/+0x60/+0x62/+0x64/+0x66 reads; sar8_rz/sar1_rz SAR-RZ idiom; per-wheel + central pass; 0x10 deadzone; clamp +/-k_travel_lim",AGENT,2026-05-24
00424b30,CopyPrimaryFrontendBufferToSecondary,64,5,INTENTIONAL,SURFBLIT,td5_frontend.c:10414,"orig DDraw IDirectDrawSurface::Blt(secondary,0,0,primary,&rect,0x10) of 16bpp full-canvas snapshot; port has no secondary surface (D3D11 immediate-mode), folded into manifest no-op per ARCH-DIVERGENCE block",AGENT,2026-05-24
00406950,ClearTrackSegmentVisibilityTable,40,3,INTENTIONAL,ARCH_DIVERGENCE_BROADPHASE_FOLD,td5_physics.c:230,"orig writes 256 u32=0xFFFFFFFF into gBroadphaseSpatialGrid + walks chain table stride 0x14 to 0x483178; port folds both into td5_physics_resolve_vehicle_contacts via s_collision_grid[256] u8 + g_actor_aabb chain link",AGENT,2026-05-24
0040b1c0,BuildTrackTextureCache,11,3,FAITHFUL,,td5_asset.c:2237,"orig is 11-byte __cdecl thunk dropping param_1/param_2 and tail-calling BuildTrackTextureCacheImpl(param_3); port callers in td5_asset.c invoke the impl directly with the third arg — same effect, no wrapper needed",AGENT,2026-05-24
004168b0,RaceTypeCategoryMenuStateMachine,5149,4,OVERSIGHT,REGR#1,td5_frontend.c:6430,"orig case-3 button 3->game_type 9 (TimeTrials) button 4->7 (Drag); port has button 3->7 button 4->9 — value swap. Port renumbers enum to claim semantic parity but residual doc flags as REGR#1",AGENT,2026-05-24
00402950,UpdateStaticTracksideCamera,294,4,OVERSIGHT,REGR#4,td5_camera.c:1722,"port uses g_camHeightSampleOfs[v] (zero-init never written) where orig reads g_cameraProfileVertOffset[v] @ 0x00482eb8; both bss-zero in practice but port omits the orig source per REGR#4",AGENT,2026-05-24
004070e0,UpdateActorTrackSegmentContactsReverse,392,5,FAITHFUL,,td5_track.c:1141,"port td5_track_resolve_reverse_contacts -> fwd_rev_handler(actor,1) mirrors orig: outer-gate < sentinel-1, per-probe equality, base/end vertex swap, atan2 tangent, side=-1 wall_response",AGENT,2026-05-24
00407270,ApplySimpleTrackSurfaceForce,286,5,FAITHFUL,,td5_physics.c:5149,"port apply_simple_track_surface_force byte-faithful: depth=((pen+sc)>>12)-4, sin/cos>>4 pos adjust, tang/normal>>12, dead-zone +/-0x180, JS normal>=0 gate, +0x37b=0 track_contact_flag",AGENT,2026-05-24
00407390,ProcessActorSegmentTransition,812,5,CANNOT_DETERMINE,L4-frida-pending,td5_physics.c:5367,"port process_traffic_segment_edge: helper traffic_edge_pen uses atan2-tangent parallel projection vs orig rotated-outward-normal local_8 + ConvertFloatVec4ToShortAngles; reference-point and outer-vertex swap also documented divergent; Frida sign(pen) trace required per L4 audit notes",AGENT,2026-05-24
004076c0,ProcessActorForwardCheckpointPass,372,5,CANNOT_DETERMINE,L4-frida-pending,td5_physics.c:5602,"port process_traffic_forward_checkpoint_pass wires same divergent traffic_edge_pen (parallel proj vs orig outward-normal); also adds sub_lane to li_idx where orig psVar2=vertex[uVar6] with no sub addition; Frida sign(pen) trace required",AGENT,2026-05-24
00407840,ProcessActorRouteAdvance,371,5,CANNOT_DETERMINE,L4-frida-pending,td5_physics.c:5520,"port process_traffic_route_advance vertex selection byte-faithful (left base + lane_nibble) but wires divergent traffic_edge_pen helper (parallel-projection dot vs orig outward-normal local_8); same Frida sign(pen) trace blocker as 0x407390",AGENT,2026-05-24
00401000,InitializeVehicleTaillightQuadTemplates,436,5,FAITHFUL,,td5_vfx.c:2743,"orig allocs lifetime*0x2E0 + alt at +lifetime*0x170 + BRAKED UV extract + builds 4 quads per actor; port matches using num_actors*0x2E0 & vfx_build_sprite_quad; semantic refactor only",AGENT,2026-05-24
004011c0,RenderVehicleTaillightQuads,356,4,INTENTIONAL,D3D11_BACKEND,td5_render.c:4290,"orig D3D3 BuildSpriteQuadTemplate+QueueTranslucentPrimitiveBatch pipeline replaced by D3D11 immediate draw_tris with TRANSLUCENT_POINT preset; +8/cap 0x80/>>1 ramp byte-faithful",AGENT,2026-05-24
00401330,SpawnRearWheelSmokeEffects,55,4,INTENTIONAL,D3D11_BACKEND,td5_vfx.c:2641,"orig 55B delegates to SpawnVehicleSmokePuffFromHardpoint(hp=2,3); port inlines speed-prob gate + uses vfx_spawn_smoke_at_position per class-level particle pipeline collapse",AGENT,2026-05-24
00401370,SpawnRandomVehicleSmokePuff,159,3,NOT_PORTED,,,"orig 159B gates on engine_speed<4000 && encounter_steering>200 && rand%speed<500 then calls SpawnVehicleSmokePuffAtPoint; port comment td5_vfx.c:2930-2938 confirms NOT PORTED (gate not wired)",AGENT,2026-05-24
00401410,InitializeRaceSmokeSpritePool,56,4,FAITHFUL,,td5_vfx.c:631,"orig gates *(g_trackEnvironmentConfig+4)==1 then HeapAllocTracked(num*0x170) + FindArchiveEntryByName(SMOKE); port mirrors via td5_plat_heap_alloc+memset+atlas helper",AGENT,2026-05-24
004063a0,UpdateVehiclePoseFromPhysicsState,631,5,OVERSIGHT,damage_lockout_switch_skipped,td5_physics.c:6713,"port acknowledges TODO D3+D4: orig 0x004064E1 damage_lockout switch (cases 0/1/2/3/4/5/6/8/9/10/12) TransformTrackVertexByMatrix A/B/C writeback to euler_accum_roll/pitch is fully skipped",AGENT,2026-05-24
00406650,UpdateVehicleActor,758,5,FAITHFUL,,td5_physics.c:915,"L5 audit 2026-05-18 confirms steps 1-8 byte-faithful with orig 0x00406650-0x00406946; 4 documented INTENTIONAL divergences (speed-bonus relocated, traffic consolidated, port-only scf safety net)",AGENT,2026-05-24
00406980,ApplyTrackSurfaceForceToActor,831,5,OVERSIGHT,wall_impact_sfx_ff_missing,td5_physics.c:354,"core impulse math byte-faithful per inline audit; orig 0x00406BF0-0x00406CB7 wall-impact PlayVehicleSoundAtPosition + PlayAssignedControllerEffect tail (iVar10>0x3200) entirely absent from port",AGENT,2026-05-24
00406cc0,UpdateActorTrackSegmentContacts,654,5,INTENTIONAL,PORT_LATERAL_WALL_SYNTH,td5_track.c:535,"port replaces orig sub-lane extremity transverse-edge rumble with td5_track_resolve_wall_contacts lateral-rail containment synthesizer; comments document architectural deviation from 0x00406CC0",AGENT,2026-05-24
00406f50,UpdateActorTrackSegmentContactsForward,392,5,FAITHFUL,,td5_track.c:1136,"L5 promotion audit 2026-05-18 confirms byte-faithful with raw disasm 0x406F77/0x406FB6/0x40702A/0x40705F/0x407094/0x4070C0; per-level boundary sentinel table mirrored from orig 0x00473820",AGENT,2026-05-24
00402ad0,UpdateSplineTracksideCamera,813,4,FAITHFUL,,td5_camera.c:1798,"REGR#5 fixed 2026-05-22; port s_splineTemplates[6][8] matches orig local_5e stack pattern (templates 0-4 byte-faithful, type 5 defensive duplicate); dist/proj_scale clamp logic semantically equal; only addition is TD5_LOG_I trace",AGENT,2026-05-24
00402e00,CycleRaceCameraPreset,32,4,FAITHFUL,,td5_camera.c:2068,"byte-faithful: read g_raceCameraPresetId[view], store (old+delta)%7, return (old+delta)/7; matches orig exactly",AGENT,2026-05-24
00402e30,ResetPlayerVehicleControlAccumulators,13,4,INTENTIONAL,ARCH_PER_SLOT_ARRAY,td5_input.c:1007,"orig zeroes 2 specific dwords (DAT_00483014/18); port zeroes full s_nos_latch[TD5_MAX_RACER_SLOTS] per-slot array; preserves reset semantics under TD5_MAX_RACER_SLOTS=6 abstraction",AGENT,2026-05-24
00402e40,ResetPlayerVehicleControlBuffers,16,4,FAITHFUL,,td5_input.c:1026,"6-iter loop zeroing s_gear_debounce[] matches orig gPlayerControlBuffer walk; iteration count and per-element zero write identical",AGENT,2026-05-24
00402e60,UpdatePlayerVehicleControlState,2126,5,INTENTIONAL,INPUT_WRITEBACK_GATED,td5_input.c:477,"main divergence is slot 0/PlayerIsAI writeback skip (documented class); path-correction bias + bit-28 polarity + manual-gate now byte-faithful post-2026-05-22 fixes; missing: remote-brake-cheat velocity-doubling boost (orig LAB_00403422) + cross-actor velocity zero loop + gear-shift sound 0x24 (rare cheat paths)",AGENT,2026-05-24
00404ec0,UpdateAIVehicleDynamics,2341,5,FAITHFUL,,td5_physics.c:2362,"port td5_physics.c:2317-2700 documented [CONFIRMED @ 0x00404EC0] byte-faithful per L5 audit; SAR-RZ rounding shipped 2026-05-18; AI brake formula faithful port (63e9624); residuals D3/D4 documented in pilot audit",AGENT,2026-05-24
004057f0,UpdateVehicleSuspensionResponse,783,5,FAITHFUL,,td5_physics.c:4742,"L5 audit complete (2026-05-18); 783B/241-instr static port byte-for-byte; D1 dot/2 truncation-toward-zero fix shipped; axis-swap fix confirmed via 0x405A3D/A43 disasm; ±4000 LIM + pattern switch + divisor 0x4B0/0x226 all match",AGENT,2026-05-24
00405b40,ClampVehicleAttitudeLimits,549,5,FAITHFUL,,td5_physics.c:7452,"precise-port pilot pool4 byte-faithful; center-shift unwrap 0xFFF&-0x800 matches; nudge thresholds 0x27F/0x2BB and hard-clamp 0x355/0x3A4 match; both display_angle+euler_accum written per orig; mode-0 latch faithfully restored",AGENT,2026-05-24
00405d70,ResetVehicleActorState,269,5,FAITHFUL,,td5_physics.c:7638,"L5 promotion 2026-05-18; 54-instr listing match across 25 unique field offsets; +0x37C wheel_contact_bitmask (NOT damage_lockout) verified at byte-level in pilot audit; gear=2/rpm=400/sentinel/integrate/re-zero sequence faithful",AGENT,2026-05-24
00405e80,IntegrateVehiclePoseAndContacts,1250,5,FAITHFUL,,td5_physics.c:5907,"per-step audit citations throughout (0x405E80 switch on +0x37C, attitude_from_wheels solver dispatch full/B/C/skip, k_mode_gate 0046318C, FPU spill F/G/H/I per orig 0x42E1E0); ±6000 clamp on roll/pitch only (yaw correctly omitted)",AGENT,2026-05-24
00402000,ResetRaceCameraSelectionState,168,5,FAITHFUL,,td5_camera.c:1436,"orig 0x00402000 two-branch dispatch (param==0 restore packed save 0x7F/>>7 ; else zero 4 fields) + two LoadCameraPresetForView calls byte-faithful to port; in-file CONFIRMED L5",AGENT,2026-05-24
004020b0,InitializeTracksideCameraProfiles,322,4,FAITHFUL,,td5_camera.c:1484,"orig 0x004020b0 count-while-!= -1 + anchor strip[3]/[4] + (vtx+strip[+C/+14])*0x100 + 2x rand%10000+10000 timers + <2|circuit→behavior=4 all mirror; in-file CONFIRMED L5",AGENT,2026-05-24
00402200,SelectTracksideCameraProfile,585,4,FAITHFUL,,td5_camera.c:1573,"orig 0x00402200 11-case switch (yaw/offset/depth=0x1000/spline timer=20000) + range scan prof[1]<=span<=prof[2] + anchor recompute byte-faithful; in-file CONFIRMED L5",AGENT,2026-05-24
00402480,UpdateTracksideCamera,1182,4,OVERSIGHT,case_1_2_basis_transform,td5_camera.c:1906,"orig case 1/2 calls ConvertFloatVec3ToIntVec3 @ 0x0042DB40 (short-clamped); port substitutes TransformVector3ByBasis (full int32); divergence acknowledged in-file L4 comment",AGENT,2026-05-24
00402a80,CacheVehicleCameraAngles,65,4,FAITHFUL,,td5_camera.c:1752,"orig 0x00402a80 3 short writes (roll+0x800, 0x800-yaw, -pitch) to g_camCachedAngles[view][0..2] byte-faithful; in-file CONFIRMED L5",AGENT,2026-05-24
00401450,LoadCameraPresetForView,305,5,FAITHFUL,,td5_camera.c:509,"orig table-driven preset load mults short fields by _DAT_0045d5d8=256.0; port g_const256 matches; force_reload+mode-change reset of radius/height/orbit/pitch + saved-camera-view byte pack identical",AGENT,2026-05-24
00401590,UpdateChaseCamera,957,5,OVERSIGHT,terrain_pitch_roll_zeroed,td5_camera.c:619,"port forces cam_angles[0]=cam_angles[2]=0 (no terrain pitch/roll) per todo_camera_no_slope_adjustment; orig AngleFromVector12 on 3-pt normals; orbit/heading-integrator/radius-spring otherwise line-by-line per L5 audit",AGENT,2026-05-24
00401950,UpdateTracksideOrbitCamera,708,4,FAITHFUL,,td5_camera.c:1096,"L5 sweep 2026-05-21 line-by-line match; abs(delta)>>11+5 speed clamp+flyin inversion+sin/-cos orbit+LoadRenderRotationMatrix(actor+0x120)+ConvertFloatVec3ToShortAngles+vel*subTick all preserved; only FPU round vs +0.5f drift",AGENT,2026-05-24
00401c20,UpdateVehicleRelativeCamera,494,5,FAITHFUL,,td5_camera.c:1243,"L5 audit byte-equivalent; pitch=roll+0x800/yaw=0x800-yaw/roll=-pitch shortest-wrap*subTick + g_camYawOffset add + actor-rotation transform*0x100 + world_pos + vel*subTick; only FPU rounding + g_renderBasisMatrix indirection",AGENT,2026-05-24
00401e10,UpdateRaceCameraTransitionState,482,4,FAITHFUL,,td5_camera.c:1333,"L5 sweep branch-by-branch match; level=timer/0x2800 4-way preset(0xD/0xC/0xB/0xA) with __ftol(d*3584/1024/256) accum on radius vs orbit; LoadCameraPresetForView+yaw=0+store_prev preserved; frame_delta=1.0 matches orig (no subTick)",AGENT,2026-05-24
004036b0,UpdatePlayerSteeringWeightBalance,101,5,NOT_PORTED,,,"orig 0x4036b0 writes g_player0/1SteeringBiasShort from raceParticlePool[0x200/0x20e] inputs for 2P split-screen steering; port has only the global #defines in td5_orig_globals.h with no writers — feature unimplemented in two-player path",AGENT,2026-05-24
00403720,RefreshVehicleWheelContactFrames,766,5,FAITHFUL,,td5_physics.c:6949,"orig 0x403720 two-loop wheel/body probe transform + force gate (>0x801 airborne, 12000 clamp, dead-zone 0x200) ported byte-faithful at td5_physics_refresh_wheel_contacts with 15+ inline CONFIRMED citations; orig also writes both wheel_contact_pos and +0x298 hires per pilot Frida 2026-05-13",AGENT,2026-05-24
00403d90,UpdateVehicleState0fDamping,285,5,FAITHFUL,,td5_physics.c:7899,"orig 0x403d90 state-0x0f stunned damping (1/16 yaw/pitch decay, body-frame longitudinal gate |sVar2|>0x20 with |roll12|<0x80) ported byte-faithful in td5_physics_state0f_damping; L5 audit 2026-05-18 confirms RZ idiom + cos/sin(-yaw) ordering",AGENT,2026-05-24
00403eb0,ApplyMissingWheelVelocityCorrection,354,5,FAITHFUL,,td5_physics.c:7771,"orig 0x403eb0 dispatch jump-table @ 0x40401C (skip {0,1,2,4,6,8,9,0xF}) + default body avg-wheel-normal * heading_y >>12, body-frame proj clamp [-0x200..0x200], correction <<2 >>8 — all ported byte-faithful in td5_physics_missing_wheel_correction",AGENT,2026-05-24
00404030,UpdatePlayerVehicleDynamics,3719,5,FAITHFUL,D4_per_wheel_surface_restored,td5_physics.c:1338,"D4 CLOSED 2026-05-24: per-wheel GetTrackSegmentSurfaceType restored via td5_track_get_surface_type(actor, 0..3) reading body_probes (orig 0x0042F100). FL/FR/RL/RR now read their own surface — mixed-surface (tarmac/grass) segments get correct per-wheel grip. Chassis cache write remains via refresh_wheel_contact_frames (separate audit).",AGENT,2026-05-24
0040ae00,EndRaceScene,10,4,INTENTIONAL,D3D11_BACKEND,td5_render.c:1236,"orig DXD3D::EndScene+AdvanceTexturePageUsageAges; port td5_render_end_scene routes through td5_plat_render_end_scene + td5_render_advance_texture_ages (LRU sweep). Same ordering, D3D11-abstracted.",AGENT,2026-05-24
0040ae10,InitializeRaceRenderGlobals,111,5,INTENTIONAL,D3D11_BACKEND,td5_render.c:1071,"orig sets FPU PC=64 via _controlfp(0x100,0x300), malloc(0x38) aligned transform, BuildSinCosLookupTables. Port folds into td5_render_init (transform reset + color LUT); FPU PC=64 set in main.c:405 per FPU_PC64_FWRAPV tag.",AGENT,2026-05-24
0040ae80,InitializeRaceRenderState,53,4,FAITHFUL,,td5_render.c:1071,"orig one-shot gate calling 3 init subroutines (TranslucentPipeline+ProjectedBuckets+WorkBuffer) + sentinel + clear-screen flag. Port td5_render_init merges them inline; sentinel collapsed to s_globals_initialized. Behaviour-equivalent.",AGENT,2026-05-24
0040aec0,ReleaseRaceRenderResources,40,4,INTENTIONAL,D3D11_BACKEND,td5_render.c:1161,"orig DXD3DTexture::ClearAll + write 0 to d3d_exref+0xa34 under DAT_0048dba0 gate. Port td5_render_shutdown routes through td5_render_reset_texture_cache, clears fog, resets s_state_active/s_globals_initialized.",AGENT,2026-05-24
0040aef0,GetEnvironmentTexturePageMode,21,3,NOT_PORTED,D3D11_BACKEND,,"orig D3D3 driver-caps query (returns 2 if d3d_exref+0xa5c==0 else 0; 16- vs 24-bit page mode). D3D11 backend exposes uniform RGBA8 page formats; query folded away at every call site (td5_asset.c:3038 audit comment).",AGENT,2026-05-24
004079c0,ApplyVehicleCollisionImpulse,2982,5,FAITHFUL,,td5_physics.c:3364,"orig 0x4079C0 case-split impulse model byte-faithful in apply_collision_response; NUM_CONST 500000>>8*0x1100, ANG_DIVISOR 0x28C, mass cardef+0x88, sign-rejection branch all preserved",AGENT,2026-05-24
00408570,CollectVehicleCollisionContacts,1261,5,FAITHFUL,,td5_physics.c:3029,"orig 0x408570 OBB corner test in obb_corner_test; contactData proj/own_x/z + 8-bit bitmask layout preserved; cos/sin >>0xc divisor matches",AGENT,2026-05-24
00408a60,ResolveVehicleCollisionPair,1124,5,FAITHFUL,,td5_physics.c:3813,"orig 0x408A60 collision_detect_full: AABB pre-test JGE/JLE w/ <= fix, 7-iter TOI bisection 0x80 seed, local_84-0x10 impactForce, switch-case dispatch all confirmed byte-faithful",AGENT,2026-05-24
00408f70,ResolveSimpleActorSeparation,472,5,FAITHFUL,,td5_physics.c:3739,"orig 0x408F70 collision_detect_simple: (rad_a+rad_b)*3/4 combined, dist_sq early-return, closing-vel gate match; port shift adjusted from >>5 to >>13 to absorb 24.8 FP scale shift on rel_v - semantically equivalent",AGENT,2026-05-24
00409150,ResolveVehicleContacts,381,5,FAITHFUL,,td5_physics.c:4080,"orig 0x409150 td5_physics_resolve_vehicle_contacts: spatial grid broadphase, 3-bucket walk, dispatch rule (vehicle_mode + wheel_contact_bitmask>=0x0F) -> simple else full all matching listing 0x4091C9-0x4091F0",AGENT,2026-05-24
